Order Number,Order Date,Order Time,RestID,CustLocationEasting,CustLocationNorthing,,
94161,29/12/2019,18:51,1,525631,188071,,
94157,29/12/2019,18:28,1,524254,185731,,
94156,29/12/2019,18:20,1,518692,182432,,
94154,29/12/2019,17:38,1,525371,187611,,
94153,29/12/2019,17:31,1,521885,186315,,
94162,29/12/2019,19:05,1,522827,182688,,
94158,29/12/2019,18:35,1,522793,182924,,
94155,29/12/2019,17:51,3,544972,265144,,
94159,29/12/2019,18:37,1,525080,183205,,
94160,29/12/2019,18:48,3,544979,267390,,
94163,29/12/2019,20:48,1,522510,187075,,
7429,29/12/2019,19:00,2,402941,289229,,
7426,29/12/2019,18:29,2,397128,275044,,
7425,29/12/2019,18:25,2,401379,279956,,
7422,29/12/2019,18:21,2,411927,277237,,
7421,29/12/2019,18:18,2,402459,278774,,
7420,29/12/2019,18:05,3,545872,256499,,
7419,29/12/2019,17:59,2,403256,291795,,
7415,29/12/2019,17:44,2,395186,289748,,
7414,29/12/2019,17:12,2,407953,283005,,
7412,29/12/2019,16:27,3,545274,258113,,
7427,29/12/2019,18:35,2,408280,285285,,
7413,29/12/2019,16:27,2,407930,286299,,
7428,29/12/2019,18:50,3,539451,263993,,
7424,29/12/2019,18:23,3,544824,256741,,
7423,29/12/2019,18:21,2,408626,277985,,
7418,29/12/2019,17:50,2,397463,281315,,
7411,29/12/2019,11:38,2,411508,281840,,
94172,30/12/2019,20:04,1,518454,184512,,
94169,30/12/2019,18:49,1,519686,185723,,
94166,30/12/2019,18:17,1,525803,187551,,
94171,30/12/2019,19:27,1,523265,184299,,
94170,30/12/2019,19:12,3,545179,264083,,
94167,30/12/2019,18:25,1,521577,185795,,
94173,30/12/2019,20:53,1,518330,183985,,
94164,30/12/2019,18:01,1,524543,186045,,
94165,30/12/2019,18:16,3,543361,259842,,
94168,30/12/2019,18:42,1,524846,184003,,
7450,30/12/2019,19:08,2,412601,275495,,
7448,30/12/2019,18:57,3,545678,261824,,
7442,30/12/2019,18:20,2,401840,275946,,
7433,30/12/2019,17:28,2,412129,273261,,
7432,30/12/2019,17:12,3,540575,255503,,
7452,30/12/2019,19:12,3,543801,255721,,
7451,30/12/2019,19:10,2,394781,290164,,
7449,30/12/2019,19:01,2,412786,290759,,
7445,30/12/2019,18:29,2,413926,280173,,
7437,30/12/2019,17:42,2,398887,289454,,
7435,30/12/2019,17:37,2,397553,287388,,
7430,30/12/2019,12:13,2,398424,281212,,
7454,30/12/2019,22:19,2,397868,284873,,
7453,30/12/2019,21:20,2,404108,278462,,
7447,30/12/2019,18:39,2,410974,291825,,
7444,30/12/2019,18:29,3,542439,265410,,
7441,30/12/2019,18:19,2,411881,275081,,
7439,30/12/2019,18:03,2,399648,291500,,
7438,30/12/2019,17:44,2,403349,277415,,
7446,30/12/2019,18:30,2,407088,280364,,
7443,30/12/2019,18:28,2,404785,287898,,
7440,30/12/2019,18:05,3,547675,267623,,
7436,30/12/2019,17:41,3,547901,258983,,
7434,30/12/2019,17:29,2,410098,281090,,
7431,30/12/2019,16:18,2,399283,281736,,
94178,31/12/2019,19:27,1,524903,183697,,
94175,31/12/2019,18:29,3,547609,262001,,
94179,31/12/2019,19:41,1,520827,186643,,
94174,31/12/2019,17:35,1,519212,183604,,
94180,31/12/2019,19:46,3,543134,256174,,
